Sl No,Name of the Student,Father's Name,Mother's Name,Date of Birth,Department,Degree Awarded,Registration Number,Roll Number,Sessions Attended,Date of Completion of the degree requirements,Total Number of Credits,Credits Completed,Cumulative Grade Point Average (CGPA) Earned,Highest CGPA in the graduating class,Number of students in the graduating class,Letter Grade Obtained,Medium of Instruction
11224345,Isaac Kim,Miguel,Colleen Clarke,"June 12, 2000",Computer Science and Technology,Bachelor of Science(Engineering),1065398,210324,2020-21 to 2023-24,"October, 2024",145,145,2.18,3.83,54,A,English
11224346,Jessica Shepherd,Amy,Gregory Stephens MD,"November 04, 2006",Computer Science and Technology,Bachelor of Science(Engineering),1065399,210325,2020-21 to 2023-24,"October, 2024",145,145,3.05,3.83,54,B,English
11224347,Tiffany Carlson,Anthony,Sheila Richards,"October 22, 2000",Computer Science and Technology,Bachelor of Science(Engineering),1065400,210326,2020-21 to 2023-24,"October, 2024",145,145,3.69,3.83,54,A,English
11224348,Brian Peterson,Olivia,Jill Nguyen,"August 22, 2003",Computer Science and Technology,Bachelor of Science(Engineering),1065401,210327,2020-21 to 2023-24,"October, 2024",145,145,3.42,3.83,54,C,English
11224349,Elizabeth Richardson,David,Brian Acevedo,"February 18, 2001",Computer Science and Technology,Bachelor of Science(Engineering),1065402,210328,2020-21 to 2023-24,"October, 2024",145,145,2.43,3.83,54,C,English
11224350,Amanda Harris,Gina,Alexis Fernandez,"April 12, 2000",Computer Science and Technology,Bachelor of Science(Engineering),1065403,210329,2020-21 to 2023-24,"October, 2024",145,145,2.36,3.83,54,D,English
11224351,David Villa,Daniel,Joshua Lee,"July 12, 2006",Computer Science and Technology,Bachelor of Science(Engineering),1065404,210330,2020-21 to 2023-24,"October, 2024",145,145,3.55,3.83,54,C,English
11224352,Stephanie Taylor,Vincent,Mark Holden,"June 02, 1999",Computer Science and Technology,Bachelor of Science(Engineering),1065405,210331,2020-21 to 2023-24,"October, 2024",145,145,2.89,3.83,54,B,English
11224353,Dawn Sims,Audrey,Jeffrey Wood,"March 27, 2004",Computer Science and Technology,Bachelor of Science(Engineering),1065406,210332,2020-21 to 2023-24,"October, 2024",145,145,2.07,3.83,54,C,English
11224354,John Richardson,Todd,Sarah Hall,"April 02, 2007",Computer Science and Technology,Bachelor of Science(Engineering),1065407,210333,2020-21 to 2023-24,"October, 2024",145,145,3.04,3.83,54,B,English
11224355,Brooke Schneider,Jackie,Francisco Eaton,"February 25, 2004",Computer Science and Technology,Bachelor of Science(Engineering),1065408,210334,2020-21 to 2023-24,"October, 2024",145,145,3.84,3.83,54,C,English
11224356,Matthew Nguyen,Jasmine,Frederick Smith,"June 26, 1999",Computer Science and Technology,Bachelor of Science(Engineering),1065409,210335,2020-21 to 2023-24,"October, 2024",145,145,3.24,3.83,54,B,English
11224357,Tara Thompson,Joseph,Debra Gilmore,"October 30, 2002",Computer Science and Technology,Bachelor of Science(Engineering),1065410,210336,2020-21 to 2023-24,"October, 2024",145,145,2.22,3.83,54,C,English
11224358,Christopher Walker,Richard,Scott Murphy,"August 13, 2004",Computer Science and Technology,Bachelor of Science(Engineering),1065411,210337,2020-21 to 2023-24,"October, 2024",145,145,2.75,3.83,54,D,English
11224359,Jacob Norris,Marie,Jessica Johnson,"November 01, 2001",Computer Science and Technology,Bachelor of Science(Engineering),1065412,210338,2020-21 to 2023-24,"October, 2024",145,145,2.44,3.83,54,C,English
11224360,Michelle Boyd,Steven,Suzanne Nicholson,"May 21, 2000",Computer Science and Technology,Bachelor of Science(Engineering),1065413,210339,2020-21 to 2023-24,"October, 2024",145,145,3.54,3.83,54,A,English
11224361,Michelle Boyd,Steven,Suzanne Nicholson,"May 21, 2000",Computer Science and Technology,Bachelor of Science(Engineering),1065414,210340,2020-21 to 2023-24,"October, 2024",145,145,3.54,3.83,54,A,English
