Sl No,Name of the Student,Father's Name,Mother's Name,Date of Birth,Department,Degree Awarded,Registration Number,Roll Number,Sessions Attended,Date of Completion of the degree requirements,Total Number of Credits,Credits Completed,Cumulative Grade Point Average (CGPA) Earned,Highest CGPA in the graduating class,Number of students in the graduating class,Letter Grade Obtained,Medium of Instruction
1167653,Richard Patterson,Jason,Christopher Powers,"June 21, 2004",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),6927337,201918,2019-20 to 2022-23,"October, 2024",145,145,3.59,3.83,54,B,English
1167654,Brenda Bryant,Karen,Paul Thompson,"December 12, 2005",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),7725960,201919,2019-20 to 2022-23,"October, 2024",145,145,2.68,3.83,54,B,English
1167655,Courtney Calderon,Stephanie,Robert Delacruz,"April 08, 2000",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),5068832,201920,2019-20 to 2022-23,"October, 2024",145,145,2.35,3.83,54,B,English
1167656,Haley Ferguson DVM,Mary,Antonio Cohen,"February 06, 2001",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),9239543,201921,2019-20 to 2022-23,"October, 2024",145,145,2.68,3.83,54,C,English
1167657,Elizabeth Brooks,Jamie,William Morgan,"March 31, 2004",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),3344309,201922,2019-20 to 2022-23,"October, 2024",145,145,2.63,3.83,54,C,English
1167658,Olivia Bird,Emily,Valerie Holmes,"October 02, 2001",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),8879773,201923,2019-20 to 2022-23,"October, 2024",145,145,2.64,3.83,54,D,English
1167659,Isaac Kim,Miguel,Colleen Clarke,"June 12, 2000",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),9263474,201924,2019-20 to 2022-23,"October, 2024",145,145,2.18,3.83,54,A,English
1167660,Jessica Shepherd,Amy,Gregory Stephens MD,"November 04, 2006",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),5549165,201925,2019-20 to 2022-23,"October, 2024",145,145,3.05,3.83,54,B,English
1167661,Tiffany Carlson,Anthony,Sheila Richards,"October 22, 2000",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),4563264,201926,2019-20 to 2022-23,"October, 2024",145,145,3.69,3.83,54,A,English
1167662,Brian Peterson,Olivia,Jill Nguyen,"August 22, 2003",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),2838546,201927,2019-20 to 2022-23,"October, 2024",145,145,3.42,3.83,54,C,English
1167663,Elizabeth Richardson,David,Brian Acevedo,"February 18, 2001",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),4328345,201928,2019-20 to 2022-23,"October, 2024",145,145,2.43,3.83,54,C,English
1167664,Amanda Harris,Gina,Alexis Fernandez,"April 12, 2000",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),5327797,201929,2019-20 to 2022-23,"October, 2024",145,145,2.36,3.83,54,D,English
1167665,David Villa,Daniel,Joshua Lee,"July 12, 2006",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),9696411,201930,2019-20 to 2022-23,"October, 2024",145,145,3.55,3.83,54,C,English
1167666,Stephanie Taylor,Vincent,Mark Holden,"June 02, 1999",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),2295668,201931,2019-20 to 2022-23,"October, 2024",145,145,2.89,3.83,54,B,English
1167667,Dawn Sims,Audrey,Jeffrey Wood,"March 27, 2004",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),3051848,201932,2019-20 to 2022-23,"October, 2024",145,145,2.07,3.83,54,C,English
1167668,John Richardson,Todd,Sarah Hall,"April 02, 2007",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),6869307,201933,2019-20 to 2022-23,"October, 2024",145,145,3.04,3.83,54,B,English
1167669,Brooke Schneider,Jackie,Francisco Eaton,"February 25, 2004",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),9748958,201934,2019-20 to 2022-23,"October, 2024",145,145,3.84,3.83,54,C,English
1167670,Matthew Nguyen,Jasmine,Frederick Smith,"June 26, 1999",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),4971855,201935,2019-20 to 2022-23,"October, 2024",145,145,3.24,3.83,54,B,English
1167671,Tara Thompson,Joseph,Debra Gilmore,"October 30, 2002",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),4995974,201936,2019-20 to 2022-23,"October, 2024",145,145,2.22,3.83,54,C,English
1167672,Christopher Walker,Richard,Scott Murphy,"August 13, 2004",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),9340295,201937,2019-20 to 2022-23,"October, 2024",145,145,2.75,3.83,54,D,English
1167673,Jacob Norris,Marie,Jessica Johnson,"November 01, 2001",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),4314742,201938,2019-20 to 2022-23,"October, 2024",145,145,2.44,3.83,54,C,English
1167674,Michelle Boyd,Steven,Suzanne Nicholson,"May 21, 2000",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),5109370,201939,2019-20 to 2022-23,"October, 2024",145,145,3.54,3.83,54,A,English
1167675,Briana Bell,Paul,Andrea Garza,"August 06, 2006",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),5528622,201940,2019-20 to 2022-23,"October, 2024",145,145,3.96,3.83,54,D,English
1167676,Amy Garcia,Ashley,Frederick Perez,"March 14, 2000",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),9193432,201941,2019-20 to 2022-23,"October, 2024",145,145,3.23,3.83,54,D,English
1167677,Katie Savage,Brent,Angel Lopez,"December 10, 2001",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),7904998,201942,2019-20 to 2022-23,"October, 2024",145,145,2.25,3.83,54,A,English
1167678,Dr. Matthew Singh,Tyler,Curtis Patel,"June 01, 1999",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),2367092,201943,2019-20 to 2022-23,"October, 2024",145,145,2.03,3.83,54,A,English
1167679,John Jackson,Andrea,Molly Fox,"April 20, 2002",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),9226648,201944,2019-20 to 2022-23,"October, 2024",145,145,3.74,3.83,54,A,English
1167680,Ricardo Doyle,Stephanie,Tracy Serrano,"July 14, 1999",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),4954908,201945,2019-20 to 2022-23,"October, 2024",145,145,3.1,3.83,54,D,English
1167681,David Small,Destiny,Valerie Brown MD,"August 20, 2000",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),1406519,201946,2019-20 to 2022-23,"October, 2024",145,145,2.4,3.83,54,C,English
1167682,Anthony Young,Colton,Brandi Odonnell,"January 07, 2007",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),3793045,201947,2019-20 to 2022-23,"October, 2024",145,145,2.05,3.83,54,C,English
1167683,Karen Noble,Amy,Charles Bell,"June 03, 1999",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),2635389,201948,2019-20 to 2022-23,"October, 2024",145,145,2.6,3.83,54,B,English
1167684,Cody Parks,Edwin,Theresa Lyons,"December 19, 2000",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),7393366,201949,2019-20 to 2022-23,"October, 2024",145,145,2.62,3.83,54,A,English
1167685,Richard Ellis,Antonio,Lindsey Williams,"February 23, 2004",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),3782094,201950,2019-20 to 2022-23,"October, 2024",145,145,2.68,3.83,54,D,English
