Sl No,Name of the Student,Father's Name,Mother's Name,Date of Birth,Department,Degree Awarded,Registration Number,Roll Number,Sessions Attended,Date of Completion of the degree requirements,Total Number of Credits,Credits Completed,Cumulative Grade Point Average (CGPA) Earned,Highest CGPA in the graduating class,Number of students in the graduating class,Letter Grade Obtained,Medium of Instruction
11224334,Ann Roberts,Thomas,Carla Kelly,"September 14, 2002",Information and Communication Engineering,Bachelor of Science(Engineering),1065387,190613,2018-19 to 2021-22,"October, 2024",145,145,2.32,3.83,54,D,English
11224335,Andrew Bonilla,Jessica,Daniel Hernandez,"October 07, 2005",Information and Communication Engineering,Bachelor of Science(Engineering),1065388,190614,2018-19 to 2021-22,"October, 2024",145,145,3.48,3.83,54,C,English
11224336,Kenneth Caldwell,Rebecca,Kathy Martinez,"April 12, 2006",Information and Communication Engineering,Bachelor of Science(Engineering),1065389,190615,2018-19 to 2021-22,"October, 2024",145,145,2.52,3.83,54,A,English
11224337,Stephanie Anderson,Megan,Michael Martin,"January 26, 2006",Information and Communication Engineering,Bachelor of Science(Engineering),1065390,190616,2018-19 to 2021-22,"October, 2024",145,145,3.48,3.83,54,B,English
11224338,Traci Stewart,Cheyenne,Nicholas Wood,"October 11, 2003",Information and Communication Engineering,Bachelor of Science(Engineering),1065391,190617,2018-19 to 2021-22,"October, 2024",145,145,2.07,3.83,54,B,English
11224339,Richard Patterson,Jason,Christopher Powers,"June 21, 2004",Information and Communication Engineering,Bachelor of Science(Engineering),1065392,190618,2018-19 to 2021-22,"October, 2024",145,145,3.59,3.83,54,B,English
11224340,Brenda Bryant,Karen,Paul Thompson,"December 12, 2005",Information and Communication Engineering,Bachelor of Science(Engineering),1065393,190619,2018-19 to 2021-22,"October, 2024",145,145,2.68,3.83,54,B,English
11224341,Courtney Calderon,Stephanie,Robert Delacruz,"April 08, 2000",Information and Communication Engineering,Bachelor of Science(Engineering),1065394,190620,2018-19 to 2021-22,"October, 2024",145,145,2.35,3.83,54,B,English
11224342,Haley Ferguson DVM,Mary,Antonio Cohen,"February 06, 2001",Information and Communication Engineering,Bachelor of Science(Engineering),1065395,190621,2018-19 to 2021-22,"October, 2024",145,145,2.68,3.83,54,C,English
11224343,Elizabeth Brooks,Jamie,William Morgan,"March 31, 2004",Information and Communication Engineering,Bachelor of Science(Engineering),1065396,190622,2018-19 to 2021-22,"October, 2024",145,145,2.63,3.83,54,C,English
11224344,Olivia Bird,Emily,Valerie Holmes,"October 02, 2001",Information and Communication Engineering,Bachelor of Science(Engineering),1065397,190623,2018-19 to 2021-22,"October, 2024",145,145,2.64,3.83,54,D,English
11224345,Isaac Kim,Miguel,Colleen Clarke,"June 12, 2000",Information and Communication Engineering,Bachelor of Science(Engineering),1065398,190624,2018-19 to 2021-22,"October, 2024",145,145,2.18,3.83,54,A,English
11224346,Jessica Shepherd,Amy,Gregory Stephens MD,"November 04, 2006",Information and Communication Engineering,Bachelor of Science(Engineering),1065399,190625,2018-19 to 2021-22,"October, 2024",145,145,3.05,3.83,54,B,English
11224347,Tiffany Carlson,Anthony,Sheila Richards,"October 22, 2000",Information and Communication Engineering,Bachelor of Science(Engineering),1065400,190626,2018-19 to 2021-22,"October, 2024",145,145,3.69,3.83,54,A,English
11224348,Brian Peterson,Olivia,Jill Nguyen,"August 22, 2003",Information and Communication Engineering,Bachelor of Science(Engineering),1065401,190627,2018-19 to 2021-22,"October, 2024",145,145,3.42,3.83,54,C,English
11224349,Elizabeth Richardson,David,Brian Acevedo,"February 18, 2001",Information and Communication Engineering,Bachelor of Science(Engineering),1065402,190628,2018-19 to 2021-22,"October, 2024",145,145,2.43,3.83,54,C,English
11224350,Amanda Harris,Gina,Alexis Fernandez,"April 12, 2000",Information and Communication Engineering,Bachelor of Science(Engineering),1065403,190629,2018-19 to 2021-22,"October, 2024",145,145,2.36,3.83,54,D,English
11224351,David Villa,Daniel,Joshua Lee,"July 12, 2006",Information and Communication Engineering,Bachelor of Science(Engineering),1065404,190630,2018-19 to 2021-22,"October, 2024",145,145,3.55,3.83,54,C,English
11224352,Stephanie Taylor,Vincent,Mark Holden,"June 02, 1999",Information and Communication Engineering,Bachelor of Science(Engineering),1065405,190631,2018-19 to 2021-22,"October, 2024",145,145,2.89,3.83,54,B,English
11224353,Dawn Sims,Audrey,Jeffrey Wood,"March 27, 2004",Information and Communication Engineering,Bachelor of Science(Engineering),1065406,190632,2018-19 to 2021-22,"October, 2024",145,145,2.07,3.83,54,C,English
11224354,John Richardson,Todd,Sarah Hall,"April 02, 2007",Information and Communication Engineering,Bachelor of Science(Engineering),1065407,190633,2018-19 to 2021-22,"October, 2024",145,145,3.04,3.83,54,B,English
11224355,Brooke Schneider,Jackie,Francisco Eaton,"February 25, 2004",Information and Communication Engineering,Bachelor of Science(Engineering),1065408,190634,2018-19 to 2021-22,"October, 2024",145,145,3.84,3.83,54,C,English
11224356,Matthew Nguyen,Jasmine,Frederick Smith,"June 26, 1999",Information and Communication Engineering,Bachelor of Science(Engineering),1065409,190635,2018-19 to 2021-22,"October, 2024",145,145,3.24,3.83,54,B,English
11224357,Tara Thompson,Joseph,Debra Gilmore,"October 30, 2002",Information and Communication Engineering,Bachelor of Science(Engineering),1065410,190636,2018-19 to 2021-22,"October, 2024",145,145,2.22,3.83,54,C,English
11224358,Christopher Walker,Richard,Scott Murphy,"August 13, 2004",Information and Communication Engineering,Bachelor of Science(Engineering),1065411,190637,2018-19 to 2021-22,"October, 2024",145,145,2.75,3.83,54,D,English
11224359,Jacob Norris,Marie,Jessica Johnson,"November 01, 2001",Information and Communication Engineering,Bachelor of Science(Engineering),1065412,190638,2018-19 to 2021-22,"October, 2024",145,145,2.44,3.83,54,C,English
11224360,Michelle Boyd,Steven,Suzanne Nicholson,"May 21, 2000",Information and Communication Engineering,Bachelor of Science(Engineering),1065413,190639,2018-19 to 2021-22,"October, 2024",145,145,3.54,3.83,54,A,English
11224361,Michelle Boyd,Steven,Suzanne Nicholson,"May 21, 2000",Information and Communication Engineering,Bachelor of Science(Engineering),1065414,190640,2018-19 to 2021-22,"October, 2024",145,145,3.54,3.83,54,A,English
